pH_H2O,EC,P,N,K,Elev,OC,OC_log
6.82,5.93,24.2,0.9,233.4,687,8.5,2.2512917986064953
8.2,18.89,27.5,1.0,277.9,591,8.2,2.2192034840549946
5.56,15.78,10.3,2.8,347.6,1204,31.7,3.487375077903208
6.31,12.58,11.0,2.3,176.7,1171,23.4,3.1945831322991562
8.34,21.78,25.6,1.4,449.9,557,14.9,2.766319109226186
7.91,15.47,76.4,1.7,539.4,597,13.7,2.6878474937846906
6.21,13.56,12.0,1.4,212.2,784,11.5,2.5257286443082556
5.9,26.4,36.7,2.5,288.4,1183,29.6,3.4210000089583352
7.7,32.68,35.8,1.1,255.8,718,12.5,2.6026896854443837
6.58,6.81,10.1,1.7,157.8,784,16.0,2.833213344056216
6.63,4.12,11.7,0.9,136.0,1172,12.3,2.5877640352277083
4.8,59.7,16.0,4.3,237.1,1501,81.3,4.410371107683024
7.81,18.24,19.0,1.1,365.7,739,7.7,2.163323025660538
4.99,22.77,22.1,3.2,233.7,1339,33.1,3.529297384289471
8.1,15.46,13.5,1.0,300.8,828,7.5,2.1400661634962708
7.51,15.57,35.4,0.5,218.8,694,3.2,1.4350845252893227
7.74,32.61,17.3,1.9,548.7,748,16.2,2.8449093838194073
7.6,38.18,31.0,1.8,687.9,781,13.0,2.6390573296152584
7.31,16.71,20.5,0.8,202.0,787,7.0,2.0794415416798357
6.9,42.8,35.9,1.1,264.3,765,10.1,2.4069451083182885
5.78,8.43,23.2,0.8,150.3,798,5.0,1.791759469228055
8.14,18.99,13.0,1.1,107.7,823,3.9,1.589235205116581
5.2,20.4,11.7,1.7,156.8,1324,17.6,2.9231615807191558
7.94,21.02,12.4,1.0,326.9,799,6.8,2.0541237336955462
8.02,18.01,25.6,1.0,193.0,625,10.9,2.4765384001174837
6.8,16.63,31.4,1.0,269.0,927,8.8,2.2823823856765264
7.67,32.73,31.2,1.7,285.2,893,12.9,2.631888840136646
8.08,16.46,20.1,1.1,196.9,842,9.6,2.3608540011180215
7.84,23.8,37.1,2.0,381.6,894,22.9,3.173878458937465
7.79,26.3,81.3,2.3,744.3,896,19.5,3.0204248861443626
7.82,10.61,19.3,1.0,249.6,911,8.5,2.2512917986064953
7.9,27.9,36.1,2.2,735.0,751,16.1,2.8390784635086144
6.84,13.61,10.4,4.6,193.7,1175,43.5,3.7954891891721947
8.07,16.86,11.8,1.4,279.0,476,19.5,3.0204248861443626
5.58,47.6,16.0,5.4,107.7,1145,61.4,4.133565275375382
6.95,15.72,10.7,4.1,163.6,1112,42.6,3.775057150354989
8.1,22.0,13.8,1.8,444.4,469,43.4,3.7932394694381792
6.75,4.36,27.1,1.0,154.9,831,8.8,2.2823823856765264
8.21,15.69,20.2,1.1,284.2,913,16.0,2.833213344056216
8.05,16.6,14.4,2.0,205.5,1090,16.4,2.856470206220483
7.64,123.6,12.7,0.6,107.9,858,14.6,2.747270914255491
4.83,8.77,12.9,2.5,147.0,1270,51.7,3.9646154555473165
7.99,17.58,14.8,1.2,484.8,880,14.7,2.7536607123542622
4.66,18.17,15.4,3.4,143.8,1161,79.0,4.382026634673881
8.06,15.02,16.1,0.9,331.3,892,7.5,2.1400661634962708
7.89,32.5,15.8,1.9,413.7,1081,22.5,3.1570004211501135
5.08,22.1,12.8,3.3,171.3,1381,43.8,3.8022081394209395
7.97,14.12,31.3,1.5,237.6,1109,9.9,2.388762789235098
8.17,15.92,13.3,1.1,344.1,852,10.4,2.4336133554004498
8.32,13.92,22.5,0.6,291.9,729,21.5,3.1135153092103742
6.83,13.44,22.7,2.1,213.4,163,19.9,3.039749158970765
8.32,15.83,37.7,0.7,176.8,836,12.8,2.624668592163159
8.04,18.61,34.0,1.6,134.3,730,13.6,2.681021528714291
8.13,29.0,38.1,1.5,431.4,712,19.5,3.0204248861443626
8.08,17.25,14.0,1.6,192.8,974,19.1,3.0007198150650303
8.32,16.28,19.5,1.2,179.2,749,10.9,2.4765384001174837
7.64,17.92,18.3,1.6,279.0,1096,16.6,2.8678989020441064
8.16,16.73,75.6,0.9,287.3,846,13.8,2.6946271807700692
8.25,15.77,10.1,1.1,210.2,698,22.3,3.1484533605716547
7.93,21.0,34.8,1.8,256.2,403,14.9,2.766319109226186
6.68,28.34,133.9,2.4,512.1,197,19.3,3.0106208860477417
6.65,13.27,104.7,1.7,288.3,192,15.3,2.791165107812717
8.11,21.9,20.7,2.1,450.6,256,21.9,3.131136910560194
6.72,42.99,39.1,3.6,427.3,257,30.8,3.459466289786131
6.29,11.81,11.0,1.6,133.5,63,15.8,2.8213788864092133
7.97,35.4,76.7,1.3,206.1,172,17.3,2.9069010598473755
8.03,38.8,67.2,2.0,1115.9,96,20.3,3.0587070727153796
6.6,53.6,39.3,17.9,706.8,1292,308.3,5.734311679691024
8.21,21.5,14.4,1.6,297.6,301,11.6,2.533696813957432
8.1,15.61,20.0,1.3,486.6,142,13.5,2.6741486494265287
5.65,5.98,17.7,2.1,184.7,891,19.0,2.995732273553991
4.72,4.33,10.6,3.3,47.0,1157,62.0,4.143134726391533
5.91,2.34,10.0,1.1,78.7,643,8.8,2.2823823856765264
6.14,8.25,14.9,0.5,51.8,738,3.8,1.5686159179138452
5.93,7.38,60.8,1.5,240.7,740,13.3,2.6602595372658615
6.12,108.76,122.6,4.8,1979.2,1299,49.1,3.914021008090819
5.49,2.26,27.4,0.9,30.1,746,10.5,2.4423470353692043
5.41,9.9,11.1,2.0,41.9,845,17.5,2.917770732084279
5.73,5.48,18.2,1.0,38.5,748,7.8,2.174751721484161
6.29,9.24,44.4,1.5,191.8,685,14.2,2.7212954278522306
5.87,4.82,10.8,1.1,87.3,814,7.9,2.186051276738094
4.26,29.0,22.5,7.5,73.8,1469,83.1,4.432006566978902
5.05,7.01,14.4,1.0,80.9,739,8.4,2.2407096892759584
6.02,32.1,67.5,1.7,248.0,808,15.7,2.8154087194227095
5.12,4.27,65.0,1.0,83.6,827,7.5,2.1400661634962708
4.62,20.7,10.6,2.1,185.5,788,17.5,2.917770732084279
5.35,14.75,36.4,2.1,293.7,758,17.5,2.917770732084279
4.65,20.7,14.8,2.7,116.5,1110,34.3,3.563882963939251
4.94,6.32,14.7,1.0,48.2,812,7.3,2.1162555148025524
6.15,21.6,106.0,4.2,227.6,775,36.1,3.6136169696133895
5.41,27.2,28.5,1.7,286.8,1059,16.2,2.8449093838194073
4.17,31.3,39.5,10.5,240.9,1465,222.1,5.407620101438487
5.83,16.04,10.5,3.5,83.3,697,22.6,3.1612467120315646
6.08,11.96,36.2,3.4,345.8,1141,42.1,3.763522997109702
5.29,13.09,15.7,1.2,67.1,909,9.2,2.322387720290225
5.12,14.41,11.8,1.7,86.6,517,12.2,2.580216829592325
5.19,5.15,16.3,0.7,72.6,858,6.1,1.9600947840472698
5.23,6.5,153.1,3.5,347.5,913,38.3,3.6712245188752153
4.81,6.33,29.3,1.9,128.3,910,13.4,2.667228206581955
4.85,19.48,14.4,1.9,43.6,809,16.6,2.8678989020441064
5.06,4.77,43.4,1.9,99.6,878,16.5,2.8622008809294686
5.94,12.42,10.4,2.9,444.7,894,26.0,3.295836866004329
5.46,3.22,12.8,1.3,50.0,892,11.6,2.533696813957432
5.69,3.94,18.8,0.8,65.2,828,7.4,2.128231705849268
5.01,10.76,47.2,2.6,170.0,1169,20.7,3.077312260546414
5.33,17.86,12.6,2.2,59.2,777,19.6,3.0252910757955354
5.04,11.84,14.5,3.0,227.0,623,35.8,3.6054978451748854
5.41,5.12,29.5,0.5,97.6,840,3.3,1.4586150226995167
4.95,4.14,17.8,0.5,29.7,833,2.5,1.252762968495368
5.05,6.2,10.2,0.5,50.8,848,3.2,1.4350845252893227
5.25,7.9,30.5,3.2,51.8,838,30.8,3.459466289786131
5.45,6.17,29.8,1.7,144.0,843,11.3,2.509599262378372
6.99,24.52,11.9,4.1,251.7,861,38.5,3.676300671907076
6.02,8.78,41.4,1.1,91.1,878,8.9,2.2925347571405443
5.53,14.36,36.7,2.2,255.7,1084,32.3,3.505557396986398
8.15,14.73,26.0,0.7,184.3,873,6.0,1.9459101490553132
6.37,16.67,21.6,2.1,113.5,1071,30.3,3.4436180975461075
5.2,41.61,25.1,4.4,318.2,969,34.6,3.572345637857985
5.48,20.78,22.0,2.0,185.8,844,19.8,3.0349529867072724
3.82,13.03,17.6,11.7,100.8,1471,147.2,4.998562712861986
4.9,6.27,59.7,2.6,128.7,1185,37.6,3.653252276470785
5.02,13.99,19.5,3.5,174.3,1043,110.3,4.712229258281499
4.4,19.48,19.8,2.1,186.0,1152,18.7,2.9806186357439426
7.25,7.23,26.0,0.7,150.4,841,5.2,1.824549292051046
4.95,15.47,14.7,1.9,68.5,923,23.1,3.1822118404966093
4.95,61.32,71.5,4.8,133.0,1090,49.2,3.9160150266976834
4.98,4.35,49.1,5.0,69.3,1341,65.9,4.203198967134183
6.02,6.37,22.2,0.6,122.9,770,4.4,1.6863989535702288
4.51,13.05,11.0,2.0,85.9,1058,17.2,2.9014215940827497
5.61,26.4,21.8,6.5,245.7,1072,69.7,4.258445572902527
4.43,33.48,38.6,7.6,118.2,1175,81.1,4.407938016458383
5.32,11.79,12.5,1.4,192.8,1027,11.0,2.4849066497880004
7.02,12.55,10.5,0.7,100.7,777,4.3,1.667706820558076
7.3,8.88,15.8,1.5,128.4,801,10.6,2.451005098112319
4.17,32.69,21.7,9.6,169.7,1131,136.0,4.919980925828125
4.97,22.28,103.9,1.5,141.6,910,11.1,2.4932054526026954
4.3,13.36,51.8,1.3,130.6,956,9.9,2.388762789235098
5.8,6.31,18.5,4.6,244.4,1186,49.9,3.929862923556477
5.82,15.05,19.3,2.3,105.0,949,19.1,3.0007198150650303
5.64,6.64,21.0,1.5,81.9,886,12.5,2.6026896854443837
4.74,5.59,40.0,0.8,50.7,929,6.6,2.028148247292285
5.64,9.05,21.0,6.1,127.6,1288,72.3,4.294560608892605
5.76,3.99,15.1,2.7,95.2,1073,34.2,3.5610460826040513
6.22,4.31,23.7,0.9,148.4,866,6.7,2.0412203288596382
5.88,3.68,27.0,1.0,42.3,787,8.2,2.2192034840549946
5.38,7.88,11.7,1.0,90.6,779,7.2,2.1041341542702074
6.35,6.12,13.4,1.0,157.2,822,7.7,2.163323025660538
4.6,17.04,19.8,6.9,133.3,1633,87.0,4.477336814478207
5.27,29.66,14.5,2.0,236.4,1038,17.1,2.89591193827178
5.12,31.37,34.4,2.7,112.3,1091,25.4,3.2733640101522705
7.6,10.62,19.4,0.9,210.9,871,7.8,2.174751721484161
8.05,15.45,18.7,1.1,196.7,871,9.2,2.322387720290225
5.64,4.07,40.6,0.7,138.9,816,4.5,1.7047480922384253
4.86,9.88,44.1,3.8,55.5,1295,38.7,3.681351187693145
6.7,14.7,11.8,2.3,348.9,1008,23.1,3.1822118404966093
5.26,9.74,13.3,1.1,66.1,881,10.1,2.4069451083182885
8.01,15.72,29.4,1.1,513.5,786,8.1,2.2082744135228043
5.31,5.03,28.2,0.6,101.2,809,3.0,1.3862943611198906
5.85,10.07,14.4,0.7,105.0,757,5.7,1.9021075263969205
5.27,12.63,14.1,1.4,61.1,865,11.0,2.4849066497880004
6.12,8.81,53.8,1.9,533.8,881,13.6,2.681021528714291
6.1,13.32,40.9,2.1,217.4,1079,17.6,2.9231615807191558
5.46,3.82,11.7,1.5,83.4,1197,16.7,2.8735646395797834
6.44,15.81,14.6,1.1,585.2,858,10.1,2.4069451083182885
5.94,5.29,54.1,0.8,130.4,886,5.9,1.9315214116032138
6.7,9.52,22.0,0.5,129.1,904,3.4,1.4816045409242156
5.32,3.14,11.5,0.9,131.0,900,7.5,2.1400661634962708
7.15,8.58,27.3,0.6,151.9,816,4.1,1.62924053973028
6.32,4.13,22.6,0.7,186.1,1116,5.1,1.8082887711792655
4.85,25.7,31.8,1.2,102.2,1098,9.2,2.322387720290225
5.7,6.83,32.3,0.6,159.9,1115,4.8,1.7578579175523736
6.01,3.31,20.1,0.5,100.0,934,4.9,1.7749523509116738
6.95,14.96,15.0,1.5,93.6,820,10.5,2.4423470353692043
4.73,9.81,12.3,1.0,68.1,996,7.3,2.1162555148025524
5.47,2.27,11.2,0.8,59.2,1100,6.9,2.066862759472976
6.38,4.5,24.8,0.9,171.2,945,7.7,2.163323025660538
8.19,22.86,20.1,0.9,321.4,707,6.7,2.0412203288596382
5.05,8.14,22.8,0.6,84.6,758,3.3,1.4586150226995167
4.67,15.92,39.5,1.7,113.1,1001,15.3,2.791165107812717
5.84,8.27,15.3,2.3,48.0,1069,34.1,3.55820113047182
5.58,9.91,12.4,4.6,137.9,1269,47.2,3.8753590210565547
6.05,22.52,21.0,1.8,97.1,1159,14.6,2.747270914255491
5.93,9.31,16.9,0.6,99.4,889,4.7,1.7404661748405046
7.64,19.88,41.4,0.9,172.5,934,7.1,2.0918640616783932
8.28,15.66,21.6,0.7,295.4,685,7.1,2.0918640616783932
5.27,6.09,18.7,0.5,78.7,746,3.0,1.3862943611198906
6.35,15.7,39.2,10.4,149.9,1259,102.5,4.639571612705423
6.39,13.5,40.7,0.7,150.5,728,4.7,1.7404661748405046
5.48,4.3,15.4,0.7,67.5,787,4.1,1.62924053973028
4.83,6.04,66.6,1.5,116.9,787,13.2,2.653241964607215
4.32,15.14,17.5,2.0,88.6,1176,20.7,3.077312260546414
6.02,13.5,14.8,7.0,135.2,1112,70.5,4.269697449699962
8.08,16.04,12.2,1.1,367.4,878,8.8,2.2823823856765264
7.42,11.82,25.9,0.7,336.9,880,6.3,1.9878743481543455
6.76,51.5,72.0,1.2,491.7,691,8.8,2.2823823856765264
7.74,13.45,19.3,0.8,396.9,691,5.9,1.9315214116032138
5.43,5.03,21.1,0.7,85.3,753,5.0,1.791759469228055
8.03,18.75,18.1,1.5,138.3,777,10.5,2.4423470353692043
7.71,40.1,50.6,1.6,189.7,839,11.1,2.4932054526026954
5.65,34.55,58.3,1.2,114.5,843,8.2,2.2192034840549946
6.83,15.7,41.7,1.4,158.8,859,11.6,2.533696813957432
3.98,25.35,102.5,6.1,148.8,1550,67.9,4.232656178019613
5.89,6.85,18.3,2.4,272.1,1291,23.3,3.190476350346503
8.0,20.67,25.5,1.3,375.5,695,9.4,2.341805806147327
6.1,11.32,29.9,0.6,135.0,773,3.6,1.5260563034950492
5.87,7.76,14.4,1.2,142.4,757,9.7,2.3702437414678603
6.52,3.77,12.9,1.0,112.4,1088,8.0,2.1972245773362196
6.48,8.25,43.0,1.8,492.5,957,15.8,2.8213788864092133
5.33,6.01,19.5,0.8,148.9,899,5.7,1.9021075263969205
6.47,6.65,26.4,0.5,126.4,737,3.7,1.547562508716013
4.89,5.89,36.2,0.8,155.5,769,7.3,2.1162555148025524
7.5,28.7,57.5,4.3,313.8,767,38.3,3.6712245188752153
5.34,35.8,32.5,1.5,241.5,814,10.9,2.4765384001174837
4.43,9.14,13.6,1.1,94.9,977,10.3,2.424802725718295
6.19,8.09,26.1,2.5,128.5,1062,25.1,3.261935314328648
5.28,10.16,32.0,0.3,97.7,894,2.4,1.2237754316221157
6.43,4.85,50.5,1.0,189.1,890,7.6,2.151762203259462
5.74,19.08,20.4,3.9,125.4,1078,35.5,3.597312260588446
5.9,5.76,55.7,2.9,433.3,1336,33.6,3.543853682063679
6.72,5.4,17.3,1.0,106.8,1159,9.8,2.379546134130174
5.32,8.68,21.2,0.7,137.5,941,4.8,1.7578579175523736
6.75,21.6,50.0,0.8,88.6,859,6.0,1.9459101490553132
6.03,5.91,40.9,0.9,131.6,900,7.6,2.151762203259462
7.66,11.09,17.9,0.8,190.2,829,6.1,1.9600947840472698
6.4,3.31,37.7,0.7,101.4,768,4.3,1.667706820558076
7.61,25.13,57.4,1.3,354.5,834,9.1,2.312535423847214
4.68,30.1,61.3,3.1,252.2,1183,29.0,3.4011973816621555
6.32,5.42,15.4,1.3,123.0,1106,12.3,2.5877640352277083
6.29,4.88,10.3,1.2,124.1,1416,11.6,2.533696813957432
6.87,6.82,19.1,0.6,138.0,945,5.2,1.824549292051046
6.03,3.14,18.5,0.4,51.9,822,3.9,1.589235205116581
7.83,13.0,10.6,1.3,264.3,765,11.3,2.509599262378372
6.13,5.92,10.6,0.8,69.3,813,5.3,1.840549633397487
5.98,21.7,23.8,1.5,217.0,827,11.0,2.4849066497880004
6.5,15.36,39.5,1.3,175.5,918,10.1,2.4069451083182885
5.42,4.13,19.5,2.7,213.3,1167,24.4,3.2347491740244907
6.89,6.27,32.8,0.8,116.7,907,6.1,1.9600947840472698
6.26,6.07,47.9,0.7,146.8,829,4.1,1.62924053973028
7.57,21.36,41.1,1.7,280.0,802,12.1,2.5726122302071057
6.07,16.77,25.5,1.0,145.4,832,6.5,2.0149030205422647
6.59,15.19,46.3,1.2,259.3,882,9.1,2.312535423847214
7.39,16.97,56.7,1.3,166.7,911,9.3,2.33214389523559
5.3,13.68,34.5,3.0,180.5,1156,28.3,3.3775875160230218
6.81,3.44,14.7,0.4,108.6,880,2.9,1.3609765531356006
7.69,23.9,10.4,1.1,67.5,761,13.1,2.6461747973841225
6.46,17.12,42.7,1.5,257.3,855,12.2,2.580216829592325
5.94,32.0,28.9,1.1,147.0,891,8.4,2.2407096892759584
6.15,12.24,20.2,1.9,240.2,555,26.2,3.3032169733019514
5.9,6.87,56.5,1.0,209.0,959,7.4,2.128231705849268
4.97,11.68,49.5,0.5,61.3,889,2.8,1.33500106673234
6.87,6.74,14.9,0.7,157.0,779,5.1,1.8082887711792655
8.39,15.63,10.3,1.5,297.1,804,11.7,2.5416019934645457
8.2,11.62,30.5,1.1,291.9,735,8.9,2.2925347571405443
8.21,17.6,29.3,1.0,452.1,738,7.4,2.128231705849268
6.27,3.84,13.7,0.7,140.2,834,4.4,1.6863989535702288
6.03,4.48,17.4,1.7,148.5,772,41.5,3.7495040759303713
5.89,3.11,13.7,2.4,145.2,1426,30.6,3.4531571205928664
5.0,2.02,20.6,5.1,57.5,1497,54.7,4.019980146933238
6.32,4.25,12.7,0.9,184.1,1112,8.0,2.1972245773362196
5.43,4.09,38.9,0.8,191.6,934,6.3,1.9878743481543455
7.29,10.86,27.9,0.7,215.4,781,4.9,1.7749523509116738
7.2,26.0,25.9,2.5,866.1,820,30.3,3.4436180975461075
4.91,14.16,14.3,1.1,211.0,570,10.1,2.4069451083182885
5.28,3.73,43.1,0.5,73.1,942,3.6,1.5260563034950492
8.14,11.92,13.0,0.6,179.8,812,3.6,1.5260563034950492
7.67,6.58,21.4,0.7,114.6,742,4.3,1.667706820558076
5.09,12.06,10.3,1.4,65.7,1133,14.2,2.7212954278522306
5.49,4.42,13.3,1.7,94.3,1527,16.8,2.8791984572980396
6.08,6.74,16.8,2.0,171.8,1106,18.4,2.9652730660692823
5.54,6.43,61.0,0.5,127.1,931,3.4,1.4816045409242156
7.98,9.35,11.0,0.5,161.0,807,2.9,1.3609765531356006
8.2,13.92,12.7,1.3,289.1,753,9.0,2.302585092994046
6.4,3.34,17.5,1.6,163.6,1229,15.8,2.8213788864092133
5.85,3.38,23.7,0.8,79.2,982,7.0,2.0794415416798357
7.85,13.47,19.4,1.0,200.3,757,7.3,2.1162555148025524
7.74,11.34,24.8,1.2,126.6,805,7.8,2.174751721484161
5.09,23.74,15.3,3.4,104.8,1117,32.2,3.502549875922443
6.19,5.41,23.0,1.7,256.2,1325,16.8,2.8791984572980396
6.53,5.39,49.7,0.7,178.4,932,4.7,1.7404661748405046
5.98,4.51,29.3,0.8,102.1,856,5.9,1.9315214116032138
5.91,9.31,26.5,0.6,55.3,708,4.9,1.7749523509116738
6.86,5.98,26.8,0.9,142.6,792,6.0,1.9459101490553132
7.7,11.97,16.9,1.3,245.3,795,10.9,2.4765384001174837
8.07,14.12,10.1,1.3,77.2,795,11.5,2.5257286443082556
5.61,3.12,46.3,0.4,61.9,995,3.0,1.3862943611198906
7.02,5.95,24.9,0.5,98.6,946,4.2,1.6486586255873816
6.91,6.45,48.3,0.8,210.0,892,6.5,2.0149030205422647
5.85,4.36,17.5,0.4,85.9,833,2.5,1.252762968495368
5.08,8.18,34.9,0.5,89.1,762,3.1,1.410986973710262
4.88,8.91,30.4,0.5,109.1,792,3.2,1.4350845252893227
4.34,45.44,14.4,6.6,195.9,1245,70.1,4.264087336809195
5.91,4.21,33.0,1.0,104.3,1159,7.7,2.163323025660538
7.18,8.13,34.5,0.6,120.8,864,4.9,1.7749523509116738
6.82,6.05,17.5,0.7,132.5,837,4.5,1.7047480922384253
7.08,13.95,44.0,1.0,246.9,811,7.3,2.1162555148025524
8.24,11.03,15.7,1.3,367.8,790,11.0,2.4849066497880004
5.39,2.14,29.9,0.5,85.7,773,2.8,1.33500106673234
7.65,5.43,24.5,0.7,147.8,780,4.9,1.7749523509116738
7.91,19.53,63.8,1.2,170.1,836,9.6,2.3608540011180215
6.94,12.85,12.5,1.5,164.4,836,12.9,2.631888840136646
5.94,6.41,12.8,3.6,158.6,1397,40.2,3.7184382563554808
7.08,12.07,25.3,1.1,241.9,721,8.0,2.1972245773362196
7.62,7.41,16.0,0.7,117.9,772,4.5,1.7047480922384253
7.61,7.41,14.1,0.7,124.0,764,4.6,1.7227665977411035
6.98,8.7,14.6,0.9,124.0,891,8.0,2.1972245773362196
6.76,6.63,31.8,1.3,220.9,841,9.2,2.322387720290225
8.21,24.5,38.9,1.3,474.3,782,10.9,2.4765384001174837
7.11,12.33,11.4,1.1,107.7,747,7.0,2.0794415416798357
7.53,20.75,42.5,1.6,151.3,860,12.6,2.6100697927420065
5.07,7.37,27.7,1.1,66.2,1211,6.6,2.028148247292285
7.08,6.6,16.6,0.7,204.1,978,5.2,1.824549292051046
7.62,17.91,24.6,0.7,95.2,817,4.2,1.6486586255873816
5.7,3.46,14.1,0.3,95.0,790,2.7,1.308332819650179
6.74,5.53,33.1,0.6,125.2,780,4.4,1.6863989535702288
8.32,14.13,14.3,0.9,140.5,841,6.8,2.0541237336955462
7.45,4.88,11.1,0.7,72.7,762,3.8,1.5686159179138452
8.18,14.12,13.1,0.9,263.1,762,5.3,1.840549633397487
7.77,11.66,12.3,1.1,279.8,871,6.8,2.0541237336955462
5.72,4.5,13.0,2.3,246.0,1278,25.6,3.2809112157876537
6.55,4.22,25.5,0.6,92.4,891,5.0,1.791759469228055
7.94,19.18,36.0,1.4,296.6,794,11.4,2.517696472610991
7.78,13.26,11.0,0.8,96.0,909,5.1,1.8082887711792655
6.03,4.27,16.7,1.6,98.8,1248,20.4,3.0633909220278057
5.57,8.31,12.3,0.9,118.4,1311,7.4,2.128231705849268
7.31,11.3,25.0,0.6,201.7,919,4.5,1.7047480922384253
6.95,6.89,23.4,0.6,189.2,764,5.6,1.8870696490323797
7.6,19.52,23.3,1.1,201.2,754,8.4,2.2407096892759584
8.24,20.0,25.0,0.8,234.8,781,5.6,1.8870696490323797
7.3,5.42,13.4,0.8,151.4,770,5.1,1.8082887711792655
7.09,9.02,12.9,1.4,123.2,810,11.3,2.509599262378372
8.08,15.12,11.6,1.3,218.7,861,8.5,2.2512917986064953
5.69,1.42,35.2,0.8,58.6,910,6.4,2.0014800002101243
6.03,7.66,13.3,5.5,321.4,1390,70.1,4.264087336809195
5.16,7.15,70.1,0.5,115.1,1029,4.8,1.7578579175523736
6.91,10.77,31.3,0.6,139.2,797,4.6,1.7227665977411035
7.53,9.36,12.0,1.1,117.5,783,6.6,2.028148247292285
7.92,9.95,31.4,0.9,104.6,888,6.8,2.0541237336955462
5.73,6.28,50.9,1.7,324.8,1258,15.9,2.8273136219290276
6.18,3.82,18.9,1.4,139.1,1273,12.8,2.624668592163159
6.65,14.25,36.1,0.5,159.9,820,3.6,1.5260563034950492
7.24,11.59,17.9,0.8,154.9,746,6.3,1.9878743481543455
8.32,14.92,28.6,1.9,424.2,775,13.9,2.7013612129514133
5.7,3.89,10.3,0.9,81.7,899,5.4,1.8562979903656263
7.33,21.3,154.2,2.6,350.4,886,20.8,3.0819099697950434
6.09,13.94,14.9,4.3,327.9,1070,47.7,3.885679030088544
6.7,5.3,41.2,0.4,114.1,961,2.5,1.252762968495368
7.16,7.19,19.3,0.7,217.0,858,5.7,1.9021075263969205
8.07,22.91,28.4,1.6,313.2,876,11.3,2.509599262378372
8.05,17.68,22.6,1.3,139.2,770,7.5,2.1400661634962708
7.74,14.65,29.9,1.2,352.6,806,9.1,2.312535423847214
5.7,3.39,22.6,1.0,131.0,895,6.0,1.9459101490553132
7.44,10.08,50.1,0.8,209.6,867,6.5,2.0149030205422647
8.08,18.01,22.9,0.8,249.8,778,10.1,2.4069451083182885
6.37,5.83,68.9,3.5,206.2,961,42.5,3.7727609380946383
6.23,4.51,11.0,1.1,107.4,1258,10.0,2.3978952727983707
8.24,17.76,36.5,0.5,203.0,964,4.0,1.6094379124341003
8.16,13.79,14.7,0.6,149.6,938,4.3,1.667706820558076
5.96,2.95,20.5,0.8,96.8,862,5.4,1.8562979903656263
6.51,3.4,10.3,0.7,88.1,920,4.5,1.7047480922384253
6.64,12.77,30.4,3.0,264.3,1128,29.0,3.4011973816621555
6.26,6.91,14.9,2.1,175.8,1362,21.5,3.1135153092103742
6.7,11.61,94.7,2.9,445.6,1331,26.6,3.3178157727231046
8.34,17.23,30.6,0.6,298.7,844,4.1,1.62924053973028
7.29,6.8,25.4,1.1,161.0,844,8.6,2.2617630984737906
6.71,8.22,10.3,0.6,99.6,871,4.8,1.7578579175523736
6.48,13.29,28.2,1.7,87.3,892,11.6,2.533696813957432
5.56,8.24,14.2,3.7,223.1,1543,39.6,3.703768066607687
7.07,5.08,15.8,0.6,92.5,842,5.2,1.824549292051046
7.97,11.67,26.5,0.8,346.6,756,5.2,1.824549292051046
8.09,11.86,15.0,0.5,156.7,748,4.4,1.6863989535702288
8.0,10.45,36.2,1.2,248.3,896,10.8,2.468099531471619
8.01,23.6,20.2,1.7,409.5,835,12.2,2.580216829592325
8.06,11.37,11.2,1.0,135.7,810,8.6,2.2617630984737906
7.08,8.25,72.2,0.7,81.5,910,5.0,1.791759469228055
5.73,6.59,21.2,2.8,148.6,1212,29.9,3.4307561839036995
5.68,34.2,16.4,4.2,80.1,1345,44.6,3.8199077165203406
6.15,6.83,14.1,2.2,119.0,1231,24.1,3.2228678461377385
5.55,11.25,31.5,0.6,153.4,773,4.2,1.6486586255873816
7.92,10.71,14.1,1.1,178.2,872,6.8,2.0541237336955462
6.96,6.07,25.4,0.9,108.1,957,5.9,1.9315214116032138
7.44,12.45,14.8,1.3,371.3,798,10.3,2.424802725718295
7.8,10.2,14.4,0.7,163.6,792,5.0,1.791759469228055
7.87,14.3,12.6,1.4,262.3,796,10.4,2.4336133554004498
8.08,10.09,13.2,1.0,221.8,896,8.2,2.2192034840549946
7.33,5.67,20.3,1.0,150.2,791,6.9,2.066862759472976
8.45,13.76,18.9,1.2,162.7,870,7.7,2.163323025660538
7.17,15.47,12.1,1.1,85.3,1440,8.2,2.2192034840549946
6.2,4.28,19.2,0.7,87.1,1087,6.4,2.0014800002101243
6.02,4.88,31.9,0.3,63.0,913,2.7,1.308332819650179
7.0,6.99,12.2,0.6,60.2,813,4.5,1.7047480922384253
6.28,25.13,17.7,1.0,333.6,784,7.9,2.186051276738094
8.02,11.42,14.3,1.4,211.8,880,9.1,2.312535423847214
6.44,6.23,26.8,0.9,177.2,896,6.8,2.0541237336955462
6.43,11.26,62.6,0.5,179.9,914,3.1,1.410986973710262
6.86,14.67,33.1,0.3,98.4,834,2.4,1.2237754316221157
8.08,21.67,24.4,1.7,244.6,891,11.2,2.501435951739211
8.28,15.46,18.5,1.5,328.6,809,10.3,2.424802725718295
4.49,26.3,20.9,5.1,163.0,1377,52.7,3.983413001514819
5.59,2.79,26.0,0.3,53.3,896,2.5,1.252762968495368
7.96,10.58,12.1,0.6,217.4,796,3.9,1.589235205116581
